GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203991-1627749-1629027-1630180-1630552-,C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,1610612737,ATL,21,9,12,0.429,289.0,107.9,108.4,120.8,120.7,-12.9,-12.4,0.614,1.63,17.3,0.344,0.709,0.513,0.152,0.503,0.537,106.1,105.92,88.26,633,0.428,66,164,15864,7914,23,6854,9992,9252,6977,3919,6923,4449,7648,5999,10345,7109,8035,7540,8784,866040
Lineups,-1628365-1628976-1630532-1630591-1631094-,M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,1610612753,ORL,19,12,7,0.632,280.0,108.1,110.1,104.8,105.5,3.3,4.6,0.611,1.95,18.8,0.276,0.792,0.522,0.135,0.537,0.557,101.0,99.77,83.14,586,0.517,87,79,15669,5961,24,6619,8007,6393,6981,3562,6145,6200,5952,5881,9580,6731,7571,10659,6888,841450
Lineups,-1629048-1630532-1630591-1631094-1641710-,G. Bitadze - F. Wagner - J. Suggs - P. Banchero - A. Black,1610612753,ORL,22,14,8,0.636,274.0,110.9,113.3,102.8,104.1,8.1,9.2,0.585,1.59,18.1,0.318,0.771,0.547,0.159,0.55,0.585,104.4,102.65,85.54,586,0.558,59,55,15743,5944,25,6269,7886,6018,7483,3968,6671,5643,6198,5277,10545,6417,6787,9283,6078,820645
Lineups,-203084-1627734-1628368-1631099-1631165-,H. Barnes - D. Sabonis - D. Fox - K. Murray - K. Ellis,1610612758,SAC,24,11,13,0.458,261.0,106.1,107.0,107.0,105.8,-1.0,1.2,0.709,2.0,19.2,0.293,0.762,0.519,0.138,0.503,0.534,97.3,97.42,81.18,528,0.505,45,99,15875,7887,26,7027,8040,6610,5209,2425,5972,5910,6287,5916,9653,7108,8087,11676,7080,784140
Lineups,-1627739-1628374-1628381-1629012-1631323-,K. Dunn - L. Markkanen - J. Collins - C. Sexton - S. Fontecchio,1610612762,UTA,20,13,7,0.65,256.0,124.2,125.9,119.5,121.6,4.7,4.3,0.722,3.0,23.4,0.303,0.764,0.532,0.116,0.6,0.628,105.1,103.45,86.21,553,0.524,74,66,15669,5930,27,4532,10067,6407,5005,1099,3594,5775,6280,5689,8705,5197,5575,8784,6760,768350
Lineups,-2544-203076-1626156-1627752-1630559-,L. James - A. Davis - D. Russell - T. Prince - A. Reaves,1610612747,LAL,34,20,14,0.588,243.0,116.1,114.5,117.7,116.9,-1.6,-2.4,0.681,2.79,20.6,0.257,0.723,0.493,0.104,0.552,0.59,104.0,105.12,87.6,539,0.516,22,25,15879,6172,28,6059,9504,8452,5424,1769,4764,6416,7351,8397,8187,6406,6686,7958,6893,729485
Lineups,-1628378-1628386-1629622-1629731-1630171-,D. Mitchell - J. Allen - M. Strus - D. Wade - I. Okoro,1610612739,CLE,22,17,5,0.773,232.0,122.7,121.4,100.6,101.8,22.1,19.6,0.659,2.67,20.6,0.308,0.763,0.537,0.111,0.582,0.611,102.5,102.44,85.36,495,0.594,59,31,15354,5056,29,5186,7765,5105,6519,1799,4800,5715,6285,5584,8326,5766,6129,9355,5450,696540
Lineups,-201939-203110-203952-1630228-1641764-,S. Curry - D. Green - A. Wiggins - J. Kuminga - B. Podziemski,1610612744,GSW,24,13,11,0.542,232.0,119.8,117.3,105.2,105.0,14.6,12.3,0.716,3.24,22.3,0.244,0.75,0.51,0.099,0.577,0.601,102.1,103.24,86.03,497,0.574,45,66,15844,6276,30,5705,7976,5776,5019,1070,3895,7196,6347,6046,7894,5852,6341,8891,5763,694645
Lineups,-203471-1627827-1628969-1629651-1630560-,D. Schroder - D. Finney-Smith - M. Bridges - N. Claxton - C. Thomas,1610612751,BKN,17,6,11,0.353,228.0,111.1,110.1,113.6,116.0,-2.5,-5.9,0.668,2.69,20.1,0.242,0.717,0.473,0.105,0.536,0.557,96.0,95.47,79.56,457,0.48,117,376,15844,8126,32,6621,9268,8729,5466,1798,4882,7205,7410,8737,8194,6740,7595,12420,7765,684795
Lineups,-203944-1628973-1629011-1629628-1629656-,J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,1610612752,NYK,14,9,5,0.643,228.0,108.5,111.2,106.7,104.8,1.8,6.4,0.553,1.64,16.2,0.29,0.7,0.495,0.135,0.523,0.56,100.5,100.13,83.44,473,0.508,183,164,15354,5936,31,6496,7954,6266,7860,3911,7910,5925,7696,8381,9592,6980,7528,10470,7046,685250
